Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,ORIG_FID,ROUTENAME,GISID,ROUTECLASS,UNITNBR,UNITNAME,ROUTECAT,ROUTETYPE,SEGLNGTH,SHARE,Shape_Leng,ROADCLASS,NAME,Use,Road_Trail,ApprovedNa,Note,Status,gridcode,SBS,ENHANCED_L
0,1,0,1,1,Butano SP Entrance Rd,GIS0102663,State Park Road,"423",Butano SP,Main Entrance Rd,Asphalt,103,,41.04013019960,3,,,,,,,0,,
0,2,0,2,1,Butano SP Entrance Rd,GIS0102663,State Park Road,"423",Butano SP,Main Entrance Rd,Asphalt,103,,41.04013019960,3,,,,,,,0,,
0,41,1,3,8,Sempervirens Point Connector Trl,GIS0086075,State Park Trail,"404",Castle Rock SP,Class II,Native Material,43,Public,16.63123531500,3,,,,,,,0,,Herbaceous
0,42,1,4,8,Sempervirens Point Connector Trl,GIS0086075,State Park Trail,"404",Castle Rock SP,Class II,Native Material,43,Public,16.63123531500,3,,,,,,,0,,Herbaceous
0,76,1,5,15,,GIS0112839,Local Road,"456",Wilder Ranch SP,Private Rd/No Gate,Native Material,0,,343.94462325600,3,,,,,,,0,,Row Crop
0,77,1,6,15,,GIS0112839,Local Road,"456",Wilder Ranch SP,Private Rd/No Gate,Native Material,0,,343.94462325600,3,,,,,,,0,,Row Crop
0,78,1,7,15,,GIS0112839,Local Road,"456",Wilder Ranch SP,Private Rd/No Gate,Native Material,0,,343.94462325600,3,,,,,,,0,,Row Crop
0,79,1,8,15,,GIS0112839,Local Road,"456",Wilder Ranch SP,Private Rd/No Gate,Native Material,0,,343.94462325600,3,,,,,,,0,,Row Crop
0,95,1,9,20,Wilder Ridge Loop,GIS0101827,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,2674,Public,1021.46513818000,3,,,,,,,0,,Herbaceous
0,96,1,10,20,Wilder Ridge Loop,GIS0101827,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,2674,Public,1021.46513818000,3,,,,,,,0,,Herbaceous
0,97,1,11,20,Wilder Ridge Loop,GIS0101827,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,2674,Public,1021.46513818000,3,,,,,,,0,,Herbaceous
0,98,1,12,20,Wilder Ridge Loop,GIS0101827,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,2674,Public,1021.46513818000,3,,,,,,,0,,Herbaceous
0,99,1,13,20,Wilder Ridge Loop,GIS0101827,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,2674,Public,1021.46513818000,3,,,,,,,0,,Herbaceous
0,100,1,14,20,Wilder Ridge Loop,GIS0101827,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,2674,Public,1021.46513818000,3,,,,,,,0,,Herbaceous
0,101,1,15,20,Wilder Ridge Loop,GIS0101827,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,2674,Public,1021.46513818000,3,,,,,,,0,,Herbaceous
0,102,1,16,20,Wilder Ridge Loop,GIS0101827,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,2674,Public,1021.46513818000,3,,,,,,,0,,Herbaceous
0,103,1,17,20,Wilder Ridge Loop,GIS0101827,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,2674,Public,1021.46513818000,3,,,,,,,0,,Herbaceous
0,104,1,18,20,Wilder Ridge Loop,GIS0101827,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,2674,Public,1021.46513818000,3,,,,,,,0,,Herbaceous
0,105,1,19,20,Wilder Ridge Loop,GIS0101827,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,2674,Public,1021.46513818000,3,,,,,,,0,,Herbaceous
0,106,1,20,20,Wilder Ridge Loop,GIS0101827,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,2674,Public,1021.46513818000,3,,,,,,,0,,Herbaceous
1,110,1,21,22,unnamed Big Basin park road,GIS0103025,State Park Road,"406",Big Basin Redwoods SP,Service Rd,Aggregate,148,Public,56.61802520830,3,,,,,,,1,Unburned/Very Low,Herbaceous
1,111,1,22,22,unnamed Big Basin park road,GIS0103025,State Park Road,"406",Big Basin Redwoods SP,Service Rd,Aggregate,148,Public,56.61802520830,3,,,,,,,1,Unburned/Very Low,Herbaceous
0,310,0,23,63,New Years Creek Trail,GIS0086133,State Park Trail,"222",Año Nuevo SP,Class II,Native Material,1025,Public,392.11377250600,3,,,,,,,0,,
0,311,0,24,63,New Years Creek Trail,GIS0086133,State Park Trail,"222",Año Nuevo SP,Class II,Native Material,1025,Public,392.11377250600,3,,,,,,,0,,
0,312,0,25,63,New Years Creek Trail,GIS0086133,State Park Trail,"222",Año Nuevo SP,Class II,Native Material,1025,Public,392.11377250600,3,,,,,,,0,,
0,313,0,26,63,New Years Creek Trail,GIS0086133,State Park Trail,"222",Año Nuevo SP,Class II,Native Material,1025,Public,392.11377250600,3,,,,,,,0,,
0,314,0,27,63,New Years Creek Trail,GIS0086133,State Park Trail,"222",Año Nuevo SP,Class II,Native Material,1025,Public,392.11377250600,3,,,,,,,0,,
0,315,0,28,64,Venice Beach Parking Access Rd,GIS0104520,State Park Road,"277",Half Moon Bay SB,Day Use Rd,Asphalt,323,,124.06327470100,3,,,,,,,0,,
0,316,0,29,64,Venice Beach Parking Access Rd,GIS0104520,State Park Road,"277",Half Moon Bay SB,Day Use Rd,Asphalt,323,,124.06327470100,3,,,,,,,0,,
0,317,0,30,64,Venice Beach Parking Access Rd,GIS0104520,State Park Road,"277",Half Moon Bay SB,Day Use Rd,Asphalt,323,,124.06327470100,3,,,,,,,0,,
1,352,1,31,68,Sequoia Group Camp Rd,GIS0102890,State Park Road,"406",Big Basin Redwoods SP,Campgrnd Rd,Asphalt,455,,174.17808615700,3,,,,,,,2,Low,Major Road
1,353,1,32,68,Sequoia Group Camp Rd,GIS0102890,State Park Road,"406",Big Basin Redwoods SP,Campgrnd Rd,Asphalt,455,,174.17808615700,3,,,,,,,2,Low,Redwood/Douglas fir
1,354,1,33,68,Sequoia Group Camp Rd,GIS0102890,State Park Road,"406",Big Basin Redwoods SP,Campgrnd Rd,Asphalt,455,,174.17808615700,3,,,,,,,2,Low,Major Road
0,530,1,34,96,Baldwin Loop,GIS0101783,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,5138,Public,1962.73243981000,3,,,,,,,0,,Shrub
0,531,1,35,96,Baldwin Loop,GIS0101783,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,5138,Public,1962.73243981000,3,,,,,,,0,,Shrub
0,532,1,36,96,Baldwin Loop,GIS0101783,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,5138,Public,1962.73243981000,3,,,,,,,0,,Herbaceous
0,533,1,37,96,Baldwin Loop,GIS0101783,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,5138,Public,1962.73243981000,3,,,,,,,0,,Herbaceous
0,534,1,38,96,Baldwin Loop,GIS0101783,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,5138,Public,1962.73243981000,3,,,,,,,0,,Shrub
0,535,1,39,96,Baldwin Loop,GIS0101783,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,5138,Public,1962.73243981000,3,,,,,,,0,,Herbaceous
0,536,1,40,96,Baldwin Loop,GIS0101783,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,5138,Public,1962.73243981000,3,,,,,,,0,,Herbaceous
0,537,1,41,96,Baldwin Loop,GIS0101783,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,5138,Public,1962.73243981000,3,,,,,,,0,,Herbaceous
0,538,1,42,96,Baldwin Loop,GIS0101783,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,5138,Public,1962.73243981000,3,,,,,,,0,,Shrub
0,539,1,43,96,Baldwin Loop,GIS0101783,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,5138,Public,1962.73243981000,3,,,,,,,0,,Herbaceous
0,540,1,44,96,Baldwin Loop,GIS0101783,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,5138,Public,1962.73243981000,3,,,,,,,0,,Shrub
0,541,1,45,96,Baldwin Loop,GIS0101783,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,5138,Public,1962.73243981000,3,,,,,,,0,,Shrub
0,542,1,46,96,Baldwin Loop,GIS0101783,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,5138,Public,1962.73243981000,3,,,,,,,0,,Herbaceous
0,543,1,47,96,Baldwin Loop,GIS0101783,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,5138,Public,1962.73243981000,3,,,,,,,0,,Herbaceous
0,544,1,48,96,Baldwin Loop,GIS0101783,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,5138,Public,1962.73243981000,3,,,,,,,0,,Herbaceous
0,545,1,49,96,Baldwin Loop,GIS0101783,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,5138,Public,1962.73243981000,3,,,,,,,0,,Herbaceous
0,546,1,50,96,Baldwin Loop,GIS0101783,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,5138,Public,1962.73243981000,3,,,,,,,0,,Shrub
0,547,1,51,96,Baldwin Loop,GIS0101783,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,5138,Public,1962.73243981000,3,,,,,,,0,,Shrub
0,548,1,52,96,Baldwin Loop,GIS0101783,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,5138,Public,1962.73243981000,3,,,,,,,0,,Herbaceous
0,549,1,53,96,Baldwin Loop,GIS0101783,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,5138,Public,1962.73243981000,3,,,,,,,0,,Shrub
0,550,1,54,96,Baldwin Loop,GIS0101783,State Park Road,"456",Wilder Ranch SP,Service Rd,Native Material,5138,Public,1962.73243981000,3,,,,,,,0,,Shrub
1,596,0,55,104,Goat Hill Trail,GIS0102606,State Park Trail,"423",Butano SP,Class II,Native Material,637,Public,244.11567366200,3,,,,,,,1,Unburned/Very Low,
0,597,0,56,104,Goat Hill Trail,GIS0102606,State Park Trail,"423",Butano SP,Class II,Native Material,637,Public,244.11567366200,3,,,,,,,0,,
0,598,0,57,104,Goat Hill Trail,GIS0102606,State Park Trail,"423",Butano SP,Class II,Native Material,637,Public,244.11567366200,3,,,,,,,0,,
0,599,0,58,104,Goat Hill Trail,GIS0102606,State Park Trail,"423",Butano SP,Class II,Native Material,637,Public,244.11567366200,3,,,,,,,0,,
1,776,1,59,120,Little Basin Campground Rd,GIS0102825,State Park Road,"406",Big Basin Redwoods SP,Campgrnd Rd,Asphalt,330,,126.35569454700,3,,,,,,,2,Low,Developed
1,777,1,60,120,Little Basin Campground Rd,GIS0102825,State Park Road,"406",Big Basin Redwoods SP,Campgrnd Rd,Asphalt,330,,126.35569454700,3,,,,,,,3,Moderate,Redwood/Douglas fir
1,778,1,61,120,Little Basin Campground Rd,GIS0102825,State Park Road,"406",Big Basin Redwoods SP,Campgrnd Rd,Asphalt,330,,126.35569454700,3,,,,,,,2,Low,Redwood/Douglas fir
1,801,0,62,128,Candelabra Trl,GIS0102593,State Park Trail,"423",Butano SP,Class IV,Native Material,38,Public,14.58660784480,3,,,,,,,1,Unburned/Very Low,
1,802,0,63,128,Candelabra Trl,GIS0102593,State Park Trail,"423",Butano SP,Class IV,Native Material,38,Public,14.58660784480,3,,,,,,,1,Unburned/Very Low,
0,822,0,64,134,Young Ave Entrance Parking Access,GIS0104508,State Park Road,"277",Half Moon Bay SB,Day Use Rd,Asphalt,78,,30.02412618250,3,,,,,,,0,,
0,823,0,65,134,Young Ave Entrance Parking Access,GIS0104508,State Park Road,"277",Half Moon Bay SB,Day Use Rd,Asphalt,78,,30.02412618250,3,,,,,,,0,,
